"task","condition","ocd_help","ocd_performance","ocd_productivity","ocd_effectiveness","ocd_easiness","ocd_usefulness","learn_ocd","ocd_tasks_help","ocd_interaction","ocd_skills","ocd_debugging","ocd_use","ocd_future","ocd_over_classical","education","job_position","program_exp","pharo_exp","code_frequency","pharo_frequency","debugger_familiarity","debugger_ocd_familarity","correctness","validity","time_in_seconds","actions","task_easiness","task_length","task_interruption","bug_found","debugger_help","debugger_enjoy","debugger_efficient","debugger_intuitive","debugger_easiness","debugger_learn"
"2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","3","5","2","3","1","5","2","2","2","2354.0","15.0","0","0","0","0","0","0","0","0","0","0"
"2","1","4","4","3","3","4","4","4","3","4","3","4","4","4","3","5","4","5","5","3","1","2","2","2","2","1063.0","35.0","4","3","2","2","4","4","3","4","4","4"
"1","1","4","4","4","3","4","4","3","4","3","4","4","3","5","3","0","1","2","1","4","4","3","3","2","2","2739.0","386.0","4","2","1","2","4","4","4","4","3","4"
"1","1","5","5","5","5","5","5","4","3","3","4","4","3","5","2","4","2","5","4","4","4","5","2","2","2","1279.0","151.0","4","3","5","1","0","0","0","0","0","0"
"2","1","5","5","5","5","5","5","5","4","5","5","5","5","5","5","5","4","5","4","4","4","5","1","2","2","884.0","72.0","4","3","1","2","4","3","4","2","2","3"
"2","1","5","5","5","5","5","5","5","5","4","5","5","5","5","3","4","1","4","4","4","4","1","4","1","2","1633.0","171.0","2","4","0","1","0","0","0","0","0","0"
"2","1","3","4","0","0","0","0","0","0","0","0","0","0","0","0","5","4","5","5","3","3","5","4","1","2","1765.0","104.0","3","2","0","1","0","0","0","0","0","0"
"2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","5","5","4","4","5","4","2","2","1022.0","65.0","4","1","0","1","0","0","0","0","0","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","3140.0","173.0","0","0","0","0","0","0","0","0","0","0"
"1","1","3","4","4","4","4","5","3","3","4","3","4","3","5","5","5","3","4","3","3","3","4","2","2","2","2617.0","224.0","2","4","1","2","5","5","5","4","3","3"
"1","1","3","3","3","4","4","4","3","3","4","4","4","4","3","2","4","1","4","2","4","4","4","2","2","2","834.0","25.0","4","2","5","2","4","3","4","4","4","3"
"1","1","4","4","2","3","4","4","5","4","3","4","4","4","4","3","5","4","5","5","2","2","5","4","2","2","481.0","13.0","4","1","5","2","2","5","5","3","5","5"
"1","1","4","4","4","4","4","4","4","3","4","4","4","4","4","4","5","3","5","5","3","3","5","5","2","2","2718.0","108.0","3","3","1","2","5","2","2","2","2","3"
"1","1","5","5","5","5","5","5","4","4","5","3","5","5","5","5","3","1","3","1","4","4","2","1","2","2","1859.0","52.0","3","2","5","2","4","2","3","2","2","2"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","4","5","5","3","3","5","4","2","2","1366.0","28.0","3","3","5","2","2","4","5","3","5","5"
"2","1","5","5","4","5","4","5","5","4","4","4","4","4","4","4","5","4","5","5","4","4","5","4","2","2","968.0","89.0","4","2","5","2","5","4","4","4","4","4"
"2","1","4","5","4","4","4","5","3","4","4","3","4","4","5","2","4","0","3","2","3","3","4","3","1","2","2496.0","420.0","3","4","5","2","5","4","5","4","3","3"
"1","1","4","4","4","4","4","4","4","4","4","4","4","4","4","4","5","4","5","2","3","3","4","2","2","2","2942.0","77.0","4","4","1","2","4","4","4","4","4","4"
"1","1","5","5","4","5","4","5","5","5","4","4","5","5","5","5","4","1","3","2","4","2","4","4","2","2","1778.0","364.0","4","4","4","2","3","1","3","4","4","4"
"1","1","3","3","3","3","3","3","3","3","3","3","3","3","3","3","5","4","4","4","4","4","2","1","2","2","687.0","7.0","3","2","5","2","1","3","3","3","3","3"
"1","1","4","4","3","3","4","4","4","3","5","5","5","4","3","3","5","4","5","1","3","1","5","4","2","2","999.0","6.0","4","3","2","2","1","3","3","3","0","0"
"2","1","4","4","3","4","4","4","4","4","3","4","4","4","4","2","5","2","5","5","4","4","5","2","2","2","1233.0","5.0","5","1","1","2","1","3","4","4","4","4"
"2","1","4","4","4","4","4","4","4","4","4","4","4","5","5","5","2","4","3","2","4","4","4","1","2","2","2776.0","12.0","2","3","0","1","0","0","0","0","0","0"
"1","1","3","4","4","3","3","4","4","4","4","4","4","3","4","3","2","1","3","1","4","4","4","2","2","2","2413.0","29.0","4","4","5","1","0","0","0","0","0","0"
"2","1","4","3","2","4","4","5","4","3","4","2","3","4","5","3","5","4","4","4","4","3","4","1","2","2","356.0","5.0","4","3","2","2","1","3","3","3","3","3"
"2","1","4","4","4","4","4","4","4","4","4","4","4","4","4","4","1","2","5","5","4","3","4","3","2","2","2105.0","34.0","2","2","5","2","1","2","2","2","2","2"
"2","1","4","4","3","4","4","4","3","3","3","3","4","3","3","4","3","1","3","1","4","3","4","1","1","2","1724.0","103.0","2","3","5","1","0","0","0","0","0","0"
"1","1","5","5","5","5","5","5","4","4","4","4","4","4","5","5","5","4","5","2","4","4","5","2","2","2","918.0","9.0","1","4","5","2","2","2","2","2","2","4"
"2","1","5","5","4","5","5","5","5","4","4","5","5","5","5","5","5","4","5","5","4","4","5","4","2","2","1482.0","41.0","4","4","5","2","2","3","2","2","3","2"
"2","1","5","5","4","4","5","5","4","4","4","4","4","4","5","4","5","0","0","0","0","0","0","0","2","2","523.0","5.0","3","2","2","2","1","3","3","3","3","3"
"2","1","4","4","4","4","4","4","4","3","4","4","4","4","4","4","4","1","5","2","4","4","4","4","2","2","2131.0","18.0","4","3","5","2","2","3","2","2","2","2"
"2","1","4","4","4","4","4","4","4","4","4","4","5","4","5","3","4","3","3","2","4","3","5","3","2","2","1200.0","94.0","4","2","5","2","5","3","5","4","4","5"
"2","1","4","4","4","4","4","4","4","3","3","4","2","2","5","5","5","4","4","1","3","3","4","4","2","2","2100.0","78.0","2","4","4","2","3","2","2","2","2","3"
"1","1","4","4","3","4","3","4","5","4","4","5","4","4","4","3","3","1","3","2","3","1","4","4","2","2","1351.0","24.0","4","4","5","1","0","0","0","0","0","0"
"2","1","3","4","3","3","4","4","3","3","3","3","3","3","4","3","2","1","3","1","3","3","3","3","2","2","2060.0","14.0","2","3","5","2","3","3","2","3","3","3"
"1","1","5","5","4","5","5","5","3","2","2","2","3","2","5","4","2","1","5","1","3","2","4","2","2","2","3348.0","120.0","2","5","5","1","0","0","0","0","0","0"
"0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0"
"1","2","3","3","2","3","3","3","3","0","0","0","0","0","0","0","3","1","3","1","4","4","3","3","0","1","4.0","0.0","0","0","0","1","0","0","0","0","0","0"
"1","2","4","4","4","4","4","4","3","4","4","3","3","4","3","2","2","4","5","4","4","4","5","4","2","2","684.0","19.0","3","3","1","2","5","4","5","0","4","3"
"2","2","5","4","4","5","3","4","5","4","5","4","5","5","5","3","4","4","5","4","3","3","5","2","2","2","696.0","13.0","3","4","5","2","5","4","4","4","0","0"
"2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","4","5","5","2","2","4","4","1","1","461.0","0.0","3","0","0","1","0","0","0","0","0","0"
"1","2","4","4","3","4","4","4","5","4","4","4","4","4","4","4","5","4","4","1","4","1","4","4","2","2","710.0","17.0","4","2","5","2","4","4","5","4","5","5"
"1","2","4","4","4","3","5","4","4","3","3","3","2","3","4","3","3","1","3","1","3","3","2","1","2","2","998.0","97.0","3","1","1","2","2","3","4","4","3","3"
"2","2","3","3","3","3","4","5","5","3","4","4","5","5","4","3","5","3","5","4","4","2","5","3","1","2","2287.0","101.0","2","5","5","2","5","4","3","4","4","5"
"2","2","3","4","4","4","4","5","5","4","4","4","5","5","5","3","5","4","4","4","3","2","5","3","2","2","3415.0","116.0","2","4","5","2","3","3","4","4","4","4"
"1","2","4","5","4","4","2","4","3","3","2","3","3","3","4","3","5","3","5","5","2","2","2","1","2","2","1471.0","104.0","2","4","2","2","0","0","0","0","0","0"
"2","2","4","4","4","3","4","5","4","4","4","4","4","4","4","4","3","4","5","4","4","4","5","4","2","1","655.0","13.0","4","2","1","2","4","4","4","4","5","5"
"2","2","3","4","4","3","3","4","3","3","3","3","4","4","4","3","4","1","3","2","4","4","3","2","2","2","1198.0","66.0","2","0","2","1","0","0","0","0","0","0"
"2","2","4","5","4","4","4","4","3","2","3","2","4","4","5","4","2","1","4","1","4","4","3","2","2","2","3878.0","236.0","3","4","3","2","2","3","3","3","3","3"
"1","2","4","5","4","5","4","5","4","4","4","4","4","3","5","5","5","4","5","3","3","3","4","4","2","2","1478.0","47.0","3","3","4","2","5","4","4","4","4","4"
"1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5556.0","94.0","0","0","0","0","0","0","0","0","0","0"
"2","2","4","3","3","3","4","4","5","4","4","4","4","4","3","3","1","1","2","1","3","3","4","4","2","2","2611.0","57.0","3","3","4","2","3","4","3","4","4","4"
"1","2","4","4","0","4","4","5","4","4","4","5","3","4","5","3","5","4","4","4","4","4","5","4","2","2","994.0","73.0","4","2","5","2","5","4","4","4","5","4"
"2","2","5","5","5","5","5","5","4","4","4","4","3","4","4","5","4","1","3","2","2","2","3","4","1","2","1360.0","72.0","4","2","5","2","5","4","4","4","4","4"
"2","2","3","4","4","4","4","3","3","2","3","4","3","2","4","2","4","0","3","3","3","2","4","2","2","2","2136.0","128.0","3","3","3","1","0","0","0","0","0","0"
"1","2","4","4","4","4","4","4","4","4","3","4","5","4","4","3","4","1","3","2","3","1","4","2","1","2","1044.0","34.0","0","0","0","1","0","0","0","0","0","0"
"2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","4","3","2","2","1","4","3","2","2","2272.0","46.0","1","1","4","1","0","0","0","0","0","0"
"2","2","4","4","4","4","4","5","4","4","3","4","4","4","5","3","4","1","4","3","3","3","4","4","2","2","3139.0","76.0","1","4","5","2","2","3","3","2","3","5"
"2","2","4","4","3","4","4","4","4","4","4","4","4","4","4","3","4","0","0","0","0","0","0","0","2","2","5074.0","172.0","3","4","2","2","3","4","2","4","4","2"
"2","2","5","5","5","4","4","5","5","3","3","5","4","4","5","3","5","4","5","5","4","3","5","3","2","2","503.0","44.0","4","2","1","2","5","4","5","4","5","4"
"1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","4","2","4","4","4","2","2","2","1254.0","18.0","0","0","0","0","0","0","0","0","0","0"
"1","2","5","5","4","5","5","5","5","5","3","3","5","5","5","4","4","1","3","2","3","3","5","4","2","2","1517.0","26.0","5","1","1","2","5","4","5","4","5","5"
"1","2","5","5","5","5","2","5","5","5","5","5","5","5","5","3","5","4","3","3","4","3","4","4","2","2","396.0","6.0","5","1","5","2","5","0","5","5","5","5"
"1","2","5","5","5","4","4","5","5","4","4","4","4","5","5","4","5","4","4","4","4","4","4","4","2","2","760.0","3.0","5","1","5","2","5","4","4","4","5","5"
"2","2","4","4","4","4","4","5","5","5","5","5","5","5","5","3","4","4","5","5","4","3","4","3","2","2","1442.0","9.0","2","4","5","2","3","3","3","2","0","3"
"1","2","4","4","4","4","4","4","4","4","4","4","0","0","0","0","5","3","5","2","3","2","4","2","2","2","1018.0","22.0","5","1","5","2","5","4","4","3","3","2"
"2","2","4","4","4","4","3","4","4","3","4","3","4","3","5","4","4","4","2","2","4","4","4","2","2","2","1625.0","23.0","3","4","5","2","4","4","4","4","3","4"
"2","2","2","3","3","3","3","2","2","2","2","3","3","3","3","3","4","4","4","3","3","3","3","2","1","2","1308.0","14.0","1","4","1","1","0","0","0","0","0","0"
"2","2","0","0","5","5","5","5","5","4","4","4","5","5","5","4","4","4","3","3","4","4","5","4","2","2","1237.0","18.0","3","4","5","2","3","3","0","0","0","5"
"1","2","4","4","4","5","4","4","5","5","4","5","4","5","5","3","4","4","4","4","4","4","5","3","2","2","856.0","61.0","4","2","5","2","2","4","3","4","3","5"
"2","2","5","5","5","5","4","5","4","4","4","4","4","4","5","5","4","4","3","2","4","4","4","2","2","2","2647.0","155.0","4","2","4","2","5","5","5","5","5","5"
"1","2","4","4","3","4","4","4","4","2","2","4","4","3","4","3","5","4","4","3","4","1","5","2","2","2","846.0","10.0","4","3","1","2","2","3","4","2","3","4"
"1","2","4","4","4","4","4","5","5","4","4","5","5","5","5","3","3","4","5","4","2","2","5","3","2","2","1929.0","71.0","2","3","1","2","5","5","5","4","4","5"
"0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0"
"1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","3","5","2","3","1","5","2","1","1","1601.0","35.0","0","0","0","0","0","0","0","0","0","0"
"1","2","4","4","3","3","4","4","4","3","4","3","4","4","4","3","5","4","5","5","3","1","2","2","2","2","1681.0","13.0","3","3","1","2","2","4","4","2","4","5"
"2","2","4","4","4","3","4","4","3","4","3","4","4","3","5","3","0","1","2","1","4","4","3","3","1","1","15.0","0.0","0","0","0","1","0","0","0","0","0","0"
"2","2","5","5","5","5","5","5","4","3","3","4","4","3","5","2","4","2","5","4","4","4","5","2","2","2","4376.0","220.0","2","4","4","2","4","0","0","4","0","4"
"1","2","5","5","5","5","5","5","5","4","5","5","5","5","5","5","5","4","5","4","4","4","5","1","2","2","2186.0","36.0","4","2","2","2","5","4","5","5","5","5"
"1","2","5","5","5","5","5","5","5","5","4","5","5","5","5","3","4","1","4","4","4","4","1","4","2","1","287.0","2.0","2","4","2","2","4","4","4","4","4","4"
"1","2","3","4","0","0","0","0","0","0","0","0","0","0","0","0","5","4","5","5","3","3","5","4","2","2","894.0","14.0","2","4","1","1","0","0","0","0","0","0"
"1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","5","5","4","4","5","4","2","2","1340.0","35.0","4","1","0","1","0","0","0","0","0","0"
"0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0"
"2","2","3","4","4","4","4","5","3","3","4","3","4","3","5","5","5","3","4","3","3","3","4","2","1","2","2927.0","253.0","1","2","1","1","0","0","0","0","0","0"
"2","2","3","3","3","4","4","4","3","3","4","4","4","4","3","2","4","1","4","2","4","4","4","2","2","2","1262.0","5.0","3","2","5","2","4","3","3","4","4","3"
"2","2","4","4","2","3","4","4","5","4","3","4","4","4","4","3","5","4","5","5","2","2","5","4","2","2","1186.0","217.0","2","4","1","2","5","5","5","3","3","4"
"2","2","4","4","4","4","4","4","4","3","4","4","4","4","4","4","5","3","5","5","3","3","5","5","2","2","3640.0","108.0","1","4","4","2","4","2","0","3","3","3"
"2","2","5","5","5","5","5","5","4","4","5","3","5","5","5","5","3","1","3","1","4","4","2","1","2","2","2258.0","75.0","3","2","1","2","3","4","4","3","5","5"
"2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","4","5","5","3","3","5","4","1","2","562.0","6.0","3","2","5","1","4","5","4","4","4","4"
"1","2","5","5","4","5","4","5","5","4","4","4","4","4","4","4","5","4","5","5","4","4","5","4","2","2","1141.0","51.0","2","3","5","2","5","4","4","4","4","4"
"1","2","4","5","4","4","4","5","3","4","4","3","4","4","5","2","4","0","3","2","3","3","4","3","2","2","917.0","25.0","4","2","5","2","5","4","4","5","3","3"
"2","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4","5","4","5","2","3","3","4","2","1","1","429.0","20.0","2","4","5","1","0","0","0","0","0","0"
"2","2","5","5","4","5","4","5","5","5","4","4","5","5","5","5","4","1","3","2","4","2","4","4","2","2","4274.0","769.0","3","4","4","2","5","5","4","5","5","5"
"2","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3","5","4","4","4","4","4","2","1","2","2","1363.0","15.0","2","4","5","1","0","0","0","0","0","0"
"2","2","4","4","3","3","4","4","4","3","5","5","5","4","3","3","5","4","5","1","3","1","5","4","2","1","1748.0","114.0","3","3","4","2","1","3","2","2","4","4"
"1","2","4","4","3","4","4","4","4","4","3","4","4","4","4","2","5","2","5","5","4","4","5","2","2","2","1020.0","22.0","4","2","5","2","5","4","4","4","4","4"
"1","2","4","4","4","4","4","4","4","4","4","4","4","5","5","5","2","4","3","2","4","4","4","1","2","2","1974.0","117.0","4","4","4","2","4","4","4","4","3","4"
"2","2","3","4","4","3","3","4","4","4","4","4","4","3","4","3","2","1","3","1","4","4","4","2","1","2","1647.0","21.0","2","4","5","2","4","4","4","3","3","4"
"1","2","4","3","2","4","4","5","4","3","4","2","3","4","5","3","5","4","4","4","4","3","4","1","2","2","604.0","19.0","3","4","2","2","5","5","5","4","4","3"
"1","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4","1","2","5","5","4","3","4","3","2","2","2054.0","16.0","2","3","2","2","2","4","3","4","3","4"
"1","2","4","4","3","4","4","4","3","3","3","3","4","3","3","4","3","1","3","1","4","3","4","1","2","2","983.0","17.0","4","2","1","2","5","4","4","4","3","4"
"2","2","5","5","5","5","5","5","4","4","4","4","4","4","5","5","5","4","5","2","4","4","5","2","2","2","2241.0","43.0","2","4","5","2","0","0","0","0","0","0"
"1","2","5","5","4","5","5","5","5","4","4","5","5","5","5","5","5","4","5","5","4","4","5","4","2","2","552.0","6.0","5","2","1","2","5","5","5","5","4","5"
"1","2","5","5","4","4","5","5","4","4","4","4","4","4","5","4","5","0","0","0","0","0","0","0","2","2","680.0","12.0","4","2","3","2","5","5","5","5","4","4"
"1","2","4","4","4","4","4","4","4","3","4","4","4","4","4","4","4","1","5","2","4","4","4","4","2","2","956.0","9.0","4","2","5","2","5","4","4","4","4","4"
"1","2","4","4","4","4","4","4","4","4","4","4","5","4","5","3","4","3","3","2","4","3","5","3","2","2","823.0","16.0","5","2","5","2","5","5","4","4","4","4"
"1","2","4","4","4","4","4","4","4","3","3","4","2","2","5","5","5","4","4","1","3","3","4","4","2","2","1497.0","67.0","4","2","2","2","4","4","4","4","4","4"
"2","2","4","4","3","4","3","4","5","4","4","5","4","4","4","3","3","1","3","2","3","1","4","4","2","2","2879.0","193.0","2","4","5","2","5","4","5","3","4","4"
"1","2","3","4","3","3","4","4","3","3","3","3","3","3","4","3","2","1","3","1","3","3","3","3","0","1","717.0","2.0","2","5","4","1","0","0","0","0","0","0"
"2","2","5","5","4","5","5","5","3","2","2","2","3","2","5","4","2","1","5","1","3","2","4","2","2","2","2035.0","148.0","4","4","5","2","0","0","0","0","0","0"
