Ammolite_Actions-actions;Ammolite_Actions-time;Ammolite_Actions-usage;Ammolite_Active-actions;Ammolite_Active-time;Ammolite_Active-usage;Ammolite_Application-actions;Ammolite_Application-time;Ammolite_Application-usage;Ammolite_Breakpoint-actions;Ammolite_Breakpoint-time;Ammolite_Breakpoint-usage;Ammolite_Browser-actions;Ammolite_Browser-time;Ammolite_Browser-usage;Ammolite_Condition;Ammolite_Debugger-actions;Ammolite_Debugger-time;Ammolite_Debugger-usage;Ammolite_External_Window-actions;Ammolite_External_Window-time;Ammolite_External_Window-usage;Ammolite_Implementors-actions;Ammolite_Implementors-time;Ammolite_Implementors-usage;Ammolite_Inspector-actions;Ammolite_Inspector-time;Ammolite_Inspector-usage;Ammolite_Methods-actions;Ammolite_Methods-time;Ammolite_Methods-usage;Ammolite_References-actions;Ammolite_References-time;Ammolite_References-usage;Ammolite_Senders-actions;Ammolite_Senders-time;Ammolite_Senders-usage;Ammolite_Spotter-actions;Ammolite_Spotter-time;Ammolite_Spotter-usage;Ammolite_Transcript-actions;Ammolite_Transcript-time;Ammolite_Transcript-usage;Ammolite_Unknown_Window-actions;Ammolite_Unknown_Window-time;Ammolite_Unknown_Window-usage;Ammolite_Users-actions;Ammolite_Users-time;Ammolite_Users-usage;Ammolite_Writers-actions;Ammolite_Writers-time;Ammolite_Writers-usage;Lights_Out_Active-actions;Lights_Out_Active-time;Lights_Out_Active-usage;Lights_Out_Application-actions;Lights_Out_Application-time;Lights_Out_Application-usage;Lights_Out_Breakpoint-actions;Lights_Out_Breakpoint-time;Lights_Out_Breakpoint-usage;Lights_Out_Browser-actions;Lights_Out_Browser-time;Lights_Out_Browser-usage;Lights_Out_Condition;Lights_Out_Debugger-actions;Lights_Out_Debugger-time;Lights_Out_Debugger-usage;Lights_Out_External_Window-actions;Lights_Out_External_Window-time;Lights_Out_External_Window-usage;Lights_Out_Implementors-actions;Lights_Out_Implementors-time;Lights_Out_Implementors-usage;Lights_Out_Inspector-actions;Lights_Out_Inspector-time;Lights_Out_Inspector-usage;Lights_Out_Methods-actions;Lights_Out_Methods-time;Lights_Out_Methods-usage;Lights_Out_References-actions;Lights_Out_References-time;Lights_Out_References-usage;Lights_Out_Senders-actions;Lights_Out_Senders-time;Lights_Out_Senders-usage;Lights_Out_Spotter-actions;Lights_Out_Spotter-time;Lights_Out_Spotter-usage;Lights_Out_Transcript-actions;Lights_Out_Transcript-time;Lights_Out_Transcript-usage;Lights_Out_Unknown_Window-actions;Lights_Out_Unknown_Window-time;Lights_Out_Unknown_Window-usage;Lights_Out_Users-actions;Lights_Out_Users-time;Lights_Out_Users-usage;Lights_Out_Writers-actions;Lights_Out_Writers-time;Lights_Out_Writers-usage
;;;;;;0;241;3;;;;0;192;7;control;1;23;2;;;;1;198;7;0;181;12;;;;0;15;1;4;208;4;0;1;1;;;;4;110;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;112;1;0;4;1;1;782;3;treatment;54;164;11;0;68;2;0;47;3;0;115;7;;;;;;;0;49;2;;;;;;;0;5;7;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;633;14;0;0;1;37;2221;23;control;43;65;4;;;;0;139;12;0;1782;16;;;;;;;0;86;4;0;0;2;;;;6;1361;5;;;;;;
;;;0;10;1;0;318;5;3;88;4;1;160;1;treatment;100;845;25;0;80;1;;;;0;252;7;;;;;;;;;;;;;;;;0;78;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;239;2;;;;4;947;10;control;0;5;2;;;;0;120;10;0;320;15;;;;0;46;2;3;700;24;;;;0;4;2;5;120;3;;;;;;
;;;;;;0;288;16;;;;3;415;2;treatment;106;538;109;;;;0;169;10;4;258;15;;;;;;;;;;;;;;;;4;100;3;;;;0;74;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;0;574;6;;;;2;200;5;control;34;367;28;0;246;2;0;7;3;5;107;15;0;2;1;;;;4;141;1;;;;;;;7;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;95;9;0;6;2;3;564;10;treatment;68;678;297;0;363;2;0;95;14;1;299;29;0;36;2;0;1;1;0;1;1;;;;;;;3;0;1;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;22;3;;;;0;336;4;control;45;346;187;0;29;2;0;8;1;0;21;2;;;;1;40;1;0;2;1;;;;;;;7;35;2;;;;;;
;;;;;;0;225;9;0;22;4;1;102;4;treatment;9;105;54;0;111;2;0;4;1;0;108;16;;;;;;;;;;;;;;;;0;7;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;1;;;;0;217;1;control;;;;;;;;;;0;1;1;;;;;;;;;;;;;;;;4;51;3;;;;;;
;;;;;;0;1;1;;;;;;;treatment;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;4;869;5;;;;2;127;3;control;369;1095;5;0;339;2;;;;3;140;8;;;;;;;;;;;;;;;;8;82;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;9;1;;;;;;;treatment;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;2;;;;;;
;;;;;;0;309;3;;;;1;143;2;control;;;;0;124;1;;;;0;251;7;;;;;;;;;;;;;;;;4;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;81;4;1;23;1;4;3454;5;treatment;44;503;48;;;;;;;5;556;42;;;;;;;0;1;1;;;;;;;3;340;2;;;;;;
;;;;;;0;437;11;;;;13;1014;7;control;152;670;5;0;199;2;2;42;4;0;225;11;;;;0;2;1;0;122;4;0;0;2;;;;6;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;0;397;12;;;;1;659;14;control;44;1190;238;0;768;2;0;6;3;0;113;9;;;;;;;;;;0;18;10;;;;6;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;196;6;;;;6;388;8;control;0;2;1;0;237;1;0;60;4;0;601;9;;;;4;128;1;0;33;3;;;;;;;4;0;3;;;;;;
;;;;;;0;154;4;;;;2;8500;2;treatment;0;15;1;;;;;;;0;56;2;;;;;;;0;4;1;;;;;;;0;137;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;0;208;3;;;;1;154;4;control;;;;;;;1;89;11;0;128;4;;;;;;;;;;0;0;1;;;;4;126;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;188;9;;;;8;862;13;treatment;225;1396;45;0;128;1;1;279;21;0;426;35;;;;;;;;;;0;0;1;0;3;1;2;58;3;;;;;;
;;;;;;0;430;2;;;;1;190;6;control;;;;;;;;;;1;361;9;;;;;;;0;28;2;;;;;;;4;982;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;138;1;;;;1;8388;3;treatment;113;554;6;0;0;1;;;;0;1;1;;;;;;;0;9;3;;;;;;;0;88;4;;;;0;77;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;112;2;;;;2;1075;3;control;94;342;5;;;;;;;0;721;10;;;;;;;0;26;4;;;;;;;5;191;3;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;147;2;;;;1;489;3;control;30;254;2;;;;0;8;2;0;51;3;;;;;;;0;1;1;;;;;;;4;60;2;;;;;;
;;;;;;0;385;10;;;;2;361;3;treatment;9;197;7;0;194;1;1;70;3;0;216;7;;;;;;;0;4;1;0;0;1;;;;1;6;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;293;5;;;;1;813;7;control;27;158;2;;;;0;20;2;0;291;7;0;7;2;0;23;1;1;51;6;;;;;;;5;125;2;;;;;;
;;;;;;2;362;11;4;23;3;3;818;10;treatment;7;163;8;0;97;1;0;86;3;0;204;8;;;;0;13;1;;;;;;;0;2;1;0;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;45;6;;;;0;495;4;control;125;861;38;0;86;1;;;;6;196;5;;;;;;;;;;;;;;;;10;7;4;;;;1;108;2
;;;;;;0;367;6;;;;0;127;4;treatment;70;635;32;0;122;2;0;152;1;0;207;2;;;;;;;0;160;6;0;0;1;;;;1;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;0;132;7;0;17;1;1;342;4;control;4;29;1;0;136;1;0;169;12;0;3;2;;;;;;;0;12;1;0;0;1;;;;4;0;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;122;2;0;12;1;6;853;6;treatment;33;352;5;0;112;1;0;48;7;0;212;13;;;;;;;1;218;17;;;;;;;3;15;10;;;;;;
;;;;;;0;947;13;;;;52;3384;12;control;13;118;19;;;;0;101;6;0;376;35;;;;;;;;;;0;2;1;;;;29;544;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;0;947;13;;;;52;3384;12;treatment;13;118;19;;;;0;101;6;0;376;35;;;;;;;;;;0;2;1;;;;29;544;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;0;221;7;;;;3;398;6;control;67;278;5;0;208;2;0;46;4;0;135;18;;;;;;;;;;;;;;;;5;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;371;16;0;3;1;4;408;7;treatment;123;561;28;0;0;1;0;81;5;0;154;26;;;;;;;;;;;;;0;1;1;0;139;3;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;122;2;;;;1;121;2;control;83;335;5;0;157;2;;;;1;116;7;;;;;;;0;0;1;;;;;;;4;2;3;;;;;;
;;;;;;0;223;7;;;;0;189;7;treatment;49;263;4;0;178;2;0;8;1;2;181;5;;;;0;3;1;;;;0;0;1;0;1;1;0;2;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;5;2;0;509;6;0;40;2;0;346;8;control;315;1452;46;0;194;2;0;83;6;;;;;;;0;7;1;0;79;2;;;;;;;15;89;2;;;;;;
;;;;;;0;128;8;0;16;1;1;67;1;treatment;96;351;3;0;121;2;;;;0;216;8;;;;;;;;;;;;;;;;0;124;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;136;1;;;;1;355;3;control;;;;;;;0;13;1;0;164;4;;;;;;;0;5;3;;;;;;;4;96;3;;;;;;
;;;;;;1;392;14;;;;3;104;4;treatment;15;61;4;;;;0;25;5;0;88;10;;;;;;;2;167;6;;;;;;;1;98;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;85;11;;;;7;267;3;control;77;506;22;0;0;1;1;20;5;4;58;10;0;22;1;;;;;;;;;;;;;5;71;2;;;;;;
;;;;;;0;209;8;1;11;2;1;166;4;treatment;9;71;24;0;0;1;2;16;2;0;67;8;;;;;;;;;;;;;;;;3;164;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;170;12;;;;30;1197;15;control;119;243;26;;;;0;37;19;13;112;82;;;;;;;2;178;7;0;4;5;;;;10;202;4;;;;;;
;;;;;;0;137;6;;;;2;76;2;treatment;3;30;5;0;0;1;;;;0;24;4;;;;;;;;;;0;0;1;;;;1;88;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;85;12;;;;3;371;6;control;48;316;33;;;;0;37;9;13;153;28;;;;;;;0;11;3;0;3;2;;;;6;69;3;;;;1;62;2
;;;;;;0;269;6;1;40;2;2;138;4;treatment;30;229;84;0;0;1;1;10;2;0;94;25;;;;;;;;;;;;;;;;0;62;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;1;193;8;;;;5;227;7;control;141;368;20;;;;0;7;3;0;89;17;;;;;;;0;1;2;;;;;;;4;92;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;147;9;0;1;1;14;940;14;treatment;184;611;28;0;73;1;10;404;15;1;656;130;;;;;;;0;39;5;;;;0;49;1;11;11;8;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;59;2;;;;0;104;5;control;5;108;34;;;;0;65;7;;;;;;;1;48;1;0;68;2;;;;;;;4;51;4;;;;;;
;;;0;3;1;0;242;9;0;56;7;2;225;4;treatment;40;482;61;0;111;1;1;55;4;1;86;12;;;;;;;0;16;1;;;;;;;3;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;0;239;7;;;;1;120;5;control;92;582;7;;;;0;7;1;0;4;4;;;;;;;;;;;;;;;;4;84;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;298;3;;;;6;465;1;treatment;148;922;28;0;91;1;0;31;3;1;372;28;;;;0;36;1;0;17;2;;;;0;0;1;0;1;2;;;;;;
;;;;;;0;316;2;;;;0;139;6;control;15;326;72;;;;0;135;6;2;276;9;;;;;;;2;409;7;;;;;;;4;223;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;121;3;0;44;3;0;99;6;treatment;14;294;6;0;108;1;0;8;1;0;286;8;;;;0;10;1;;;;;;;;;;0;3;4;;;;;;
;;;;;;0;413;6;;;;3;220;10;control;14;253;56;0;120;2;4;144;6;1;105;9;;;;;;;0;15;1;;;;;;;6;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;38;1;;;;1;82;1;treatment;5;99;8;0;44;1;;;;0;147;2;;;;;;;;;;;;;;;;0;0;3;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;20;9;;;;8;832;5;control;61;505;211;0;104;2;0;28;4;2;200;31;;;;;;;;;;;;;;;;7;2;2;;;;;;
;;;;;;0;189;9;4;35;1;9;157;8;treatment;48;477;28;0;80;2;1;8;2;4;295;48;;;;;;;;;;;;;;;;1;91;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;0;1753;22;;;;21;4176;21;control;20;339;47;0;867;1;0;64;9;2;1532;33;0;33;1;0;94;1;0;830;7;;;;;;;4;0;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;13;1;9;67;12;0;188;3;treatment;157;1930;49;0;171;1;0;64;6;1;1615;47;;;;;;;;;;;;;;;;5;0;2;;;;;;
;;;;;;0;217;7;;;;1;348;5;control;15;230;7;0;168;1;3;125;4;3;131;12;;;;;;;0;32;3;;;;;;;6;0;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;163;11;6;42;2;25;1210;6;treatment;48;650;38;0;60;1;0;30;7;26;583;44;;;;;;;0;12;1;;;;;;;7;7;4;;;;;;
;;;;;;0;154;2;;;;1;133;2;control;2;67;2;0;222;1;0;4;1;0;38;6;;;;;;;;;;;;;;;;4;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;8;2;;;;4;593;4;treatment;;;;0;73;1;1;85;12;3;124;10;;;;;;;7;376;12;;;;;;;0;8;8;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;147;3;;;;5;672;6;control;;;;1;126;2;;;;0;260;5;;;;;;;;;;;;;;;;5;1;2;;;;;;
;;;;;;0;183;4;;;;1;38;1;treatment;16;199;25;;;;;;;0;43;2;;;;;;;;;;;;;;;;0;168;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;0;306;17;;;;4;285;7;control;94;741;22;0;300;1;1;147;4;0;74;10;;;;;;;0;14;1;0;0;2;;;;6;0;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;46;1;;;;0;17;1;treatment;0;0;1;;;;;;;0;0;6;;;;;;;;;;;;;;;;0;164;4;;;;;;
;;;;;;4;528;11;;;;1;342;4;control;95;993;19;;;;2;303;9;0;105;2;;;;1;43;2;0;24;3;;;;;;;5;128;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;67;2;0;23;3;10;974;2;treatment;82;1270;47;;;;0;44;11;11;514;18;;;;;;;0;1;1;;;;;;;5;51;3;;;;;;
;;;;;;0;465;15;;;;3;862;8;control;191;2402;27;;;;;;;10;382;43;;;;;;;;;;0;0;1;;;;23;553;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;18;4;1;17;1;1;496;3;treatment;42;878;66;;;;;;;0;227;26;;;;;;;;;;0;0;1;;;;2;140;5;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;20;2;;;;1;155;3;control;;;;;;;0;46;4;0;142;5;;;;;;;0;0;2;;;;;;;4;86;5;;;;;;
;;;;;;0;262;3;0;21;1;0;69;5;treatment;11;126;7;0;44;1;;;;1;99;10;;;;;;;0;0;1;;;;;;;0;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;7;486;24;;;;16;727;9;control;1;368;21;;;;;;;0;366;49;;;;;;;;;;;;;;;;5;268;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;234;7;1;7;2;2;673;4;treatment;14;183;7;0;0;1;0;13;3;0;225;6;;;;;;;0;38;1;;;;;;;2;237;2;;;;;;
